bowler,balls,runs_conceded,runs_per_ball,impact
DW Steyn,559,593,1.0608228980322003,0.2839935026425109
M Muralitharan,1145,1232,1.0759825327510917,0.2688338679236195
GD McGrath,233,255,1.094420600858369,0.2503957998163422
Shakib Al Hasan,751,841,1.1198402130492677,0.22497618762544347
Iqbal Abdulla,322,362,1.124223602484472,0.22059279819023914
SP Narine,2712,3078,1.1349557522123894,0.20986064846232177
R Ashwin,3620,4151,1.1466850828729283,0.19813131780178295
J Yadav,252,289,1.1468253968253967,0.19799100384931445
MF Maharoof,392,457,1.1658163265306123,0.1790000741440989
JH Kallis,469,553,1.1791044776119404,0.16571192306277083
JJ Bumrah,1538,1825,1.1866059817945385,0.15821041888017273
SL Malinga,1118,1327,1.1869409660107335,0.1578754346639777
MJ Santner,464,551,1.1875,0.1573164006747112
DP Nannes,448,533,1.1897321428571428,0.1550842578175684
DE Bollinger,600,716,1.1933333333333334,0.15148306734137784
P Kumar,1068,1275,1.1938202247191012,0.15099617595561
Harbhajan Singh,1609,1931,1.2001243008079552,0.14469209986675602
SK Raina,882,1062,1.2040816326530612,0.14073476802164997
M Ntini,213,257,1.2065727699530517,0.13824363072165946
Z Khan,832,1004,1.2067307692307692,0.13808563144394204
MM Patel,380,459,1.2078947368421054,0.13692166383260584
PV Tambe,282,342,1.2127659574468086,0.1320504432279026
KH Pandya,1096,1333,1.2162408759124088,0.12857552476230238
AB Dinda,601,731,1.21630615640599,0.12851024426872115
AR Patel,2695,3310,1.228200371057514,0.11661602961719719
A Nehra,1059,1303,1.2304060434372048,0.11441035723750637
SK Trivedi,234,288,1.2307692307692308,0.11404716990548036
A Mishra,2418,2989,1.2361455748552523,0.10867082581945886
S Nadeem,1036,1281,1.2364864864864864,0.1083299141882248
MM Ali,580,718,1.2379310344827585,0.10688536619195266
S Gopal,369,458,1.2411924119241193,0.10362398875059187
IK Pathan,1333,1657,1.243060765191298,0.10175563548341326
DS Kulkarni,852,1060,1.244131455399061,0.1006849452756502
WD Parnell,225,280,1.2444444444444445,0.10037195623026673
B Kumar,260,325,1.25,0.0948164006747112
CV Varun,1284,1610,1.2538940809968848,0.09092231967782638
M Morkel,1213,1521,1.2539159109645508,0.0909004897101604
RJ Harris,573,719,1.2547993019197208,0.09001709875499042
R Tewatia,437,550,1.2585812356979404,0.08623516497677075
Azhar Mahmood,358,451,1.2597765363128492,0.08503986436186195
NM Coulter-Nile,608,766,1.2598684210526316,0.08494797962207956
PP Ojha,1311,1653,1.2608695652173914,0.08394683545731985
Imran Tahir,1123,1424,1.2680320569902048,0.07678434368450637
RA Jadeja,3825,4860,1.2705882352941176,0.07422816538059362
DL Chahar,1754,2233,1.27309007981756,0.07172632085715125
BW Hilfenhaus,390,497,1.2743589743589743,0.07045742631573693
RG Sharma,247,316,1.2793522267206479,0.06546417395406334
A Symonds,455,584,1.2835164835164836,0.06129991715822758
JP Duminy,516,663,1.2848837209302326,0.05993267974447858
DT Christian,579,744,1.2849740932642486,0.05984230741046259
M Kartik,361,464,1.2853185595567866,0.059497841117924555
RP Singh,1123,1445,1.2867319679430098,0.058084432731701385
DL Vettori,217,281,1.294930875576037,0.04988552509867428
R Bhatia,779,1009,1.2952503209242618,0.049566079750449354
IC Pandey,457,592,1.2954048140043763,0.04941158667033485
B Lee,429,556,1.2960372960372961,0.04877910463741508
Kuldeep Yadav,1687,2187,1.2963841138114998,0.04843228686321144
WPUJC Vaas,264,343,1.2992424242424243,0.04557397643228689
Yuvraj Singh,285,372,1.305263157894737,0.039553242779974296
MG Johnson,789,1030,1.3054499366286438,0.03936646404606736
Harpreet Brar,373,487,1.3056300268096515,0.03918637386505974
BA Bhatt,242,316,1.3057851239669422,0.03903127670776896
PP Chawla,2207,2886,1.3076574535568646,0.03715894711784662
AJ Tye,494,646,1.3076923076923077,0.03712409298240349
Shivam Mavi,464,607,1.3081896551724137,0.0366267455022975
R Sharma,386,506,1.310880829015544,0.03393557165916716
YS Chahal,810,1062,1.3111111111111111,0.03370528956360008
Rashid Khan,1046,1372,1.311663479923518,0.03315292075119314
M Theekshana,648,850,1.3117283950617284,0.03308800561298275
K Gowtham,206,271,1.3155339805825244,0.029282420092186845
Mohammed Siraj,524,692,1.3206106870229009,0.024205713651810346
JA Morkel,1635,2163,1.3229357798165138,0.02188062085819742
Noor Ahmad,714,946,1.3249299719887955,0.019886428685915725
SB Jakati,1079,1433,1.3280815569972197,0.01673484367749145
JR Hazlewood,318,423,1.330188679245283,0.014627721429428142
SR Watson,554,737,1.3303249097472925,0.014491490927418749
L Balaji,1153,1534,1.3304423243712056,0.014374076303505623
VRV Singh,209,279,1.3349282296650717,0.009888171009639457
YK Pathan,314,420,1.3375796178343948,0.007236782840316369
M Pathirana,765,1025,1.3398692810457515,0.004947119628959662
S Sreesanth,426,572,1.3427230046948357,0.0020933959798754564
JO Holder,358,481,1.3435754189944134,0.001240981680297848
DJ Bravo,2818,3799,1.3481192334989354,-0.0033028328242241667
RD Chahar,647,873,1.3493044822256568,-0.0044880815509456
P Awana,484,654,1.3512396694214877,-0.006423268746776456
R Dhawan,427,577,1.351288056206089,-0.00647165553137774
Harmeet Singh,438,594,1.356164383561644,-0.011347982886932728
LH Ferguson,548,745,1.3594890510948905,-0.01467265042017929
Ravi Bishnoi,946,1288,1.3615221987315012,-0.016705798056789956
I Sharma,1486,2025,1.3627187079407805,-0.01790230726606934
Mustafizur Rahman,716,978,1.3659217877094971,-0.021105387034785927
AB Agarkar,426,582,1.3661971830985915,-0.021380782423880307
P Negi,415,567,1.3662650602409638,-0.021448659566252637
Sandeep Sharma,1186,1621,1.3667790893760539,-0.02196268870134266
MJ McClenaghan,567,775,1.3668430335097002,-0.022026632834988957
AD Mathews,490,670,1.3673469387755102,-0.02253053810079897
CH Morris,1230,1685,1.3699186991869918,-0.02510229851228063
R Vinay Kumar,459,630,1.3725490196078431,-0.027732618933131947
K Rabada,1359,1867,1.373804267844003,-0.028987867169291803
R Sai Kishore,359,494,1.3760445682451254,-0.031228167570414245
M Ashwin,429,591,1.3776223776223777,-0.032805976947666515
TG Southee,629,867,1.3783783783783783,-0.03356197770366709
Mujeeb Ur Rahman,334,461,1.3802395209580838,-0.03542312028337258
S Tyagi,220,304,1.3818181818181818,-0.037001781143470636
PJ Sangwan,648,896,1.382716049382716,-0.037899648708004774
Lalit Yadav,262,363,1.3854961832061068,-0.04067978253139559
MS Gony,888,1233,1.3885135135135136,-0.0436971128388024
L Ngidi,366,511,1.3961748633879782,-0.05135846271326705
TA Boult,1126,1573,1.396980461811723,-0.052164061137011775
PJ Cummins,695,973,1.4,-0.05518359932528871
VR Aaron,395,555,1.4050632911392404,-0.060246890464529246
KV Sharma,367,517,1.4087193460490464,-0.06390294537433516
Naveen-ul-Haq,265,375,1.4150943396226414,-0.07027793894793022
C Sakariya,214,303,1.4158878504672898,-0.07107144979257862
M Prasidh Krishna,909,1288,1.4169416941694168,-0.07212529349470564
JP Faulkner,534,758,1.4194756554307115,-0.07465925475600033
VY Mahesh,283,403,1.4240282685512367,-0.07921186787652545
UT Yadav,1826,2604,1.4260679079956189,-0.08125150732090769
MM Sharma,2080,2971,1.4283653846153845,-0.08354898394067334
CR Woakes,210,300,1.4285714285714286,-0.0837550278967174
DR Smith,396,566,1.4292929292929293,-0.08447652861821808
JD Unadkat,692,993,1.4349710982658959,-0.09015469759118466
KA Pollard,636,913,1.4355345911949686,-0.09071819052025742
JDP Oram,220,316,1.4363636363636363,-0.09154723568892509
Mohammed Shami,1878,2698,1.4366347177848775,-0.0918183171101663
MR Marsh,351,507,1.4444444444444444,-0.09962804376973322
GJ Maxwell,456,660,1.4473684210526316,-0.10255202037792044
Avesh Khan,943,1374,1.4570519618239661,-0.11223556114925493
