bowler,balls,runs_conceded,wickets,runs_per_ball,wicket_prob,economy
A Kumble,983,1089,49,1.1078331637843337,0.04984740590030519,6.646998982706002
GD McGrath,329,366,14,1.1124620060790273,0.0425531914893617,6.674772036474164
M Muralitharan,1581,1765,67,1.116382036685642,0.04237824161922834,6.698292220113853
J Yadav,398,447,9,1.1231155778894473,0.022613065326633167,6.738693467336684
RE van der Merwe,455,515,25,1.1318681318681318,0.054945054945054944,6.791208791208791
DW Steyn,2282,2583,105,1.1319018404907975,0.046012269938650305,6.791411042944785
SP Narine,4421,5029,212,1.1375254467315088,0.04795295182085501,6.825152680389053
DL Vettori,785,894,34,1.1388535031847133,0.04331210191082802,6.83312101910828
J Botha,709,818,27,1.153737658674189,0.0380818053596615,6.922425952045134
SL Malinga,2974,3486,188,1.1721587088096839,0.06321452589105582,7.032952252858103
Harbhajan Singh,3496,4101,161,1.1730549199084668,0.046052631578947366,7.038329519450801
R Ashwin,4868,5721,205,1.1752259654889072,0.042111750205423175,7.051355792933443
R Sharma,935,1100,42,1.1764705882352942,0.044919786096256686,7.0588235294117645
AD Mascarenhas,310,365,19,1.1774193548387097,0.06129032258064516,7.064516129032258
DP Nannes,689,815,38,1.1828737300435415,0.055152394775036286,7.097242380261249
MM Ali,869,1036,46,1.192174913693901,0.05293440736478711,7.153049482163406
Iqbal Abdulla,943,1125,45,1.1930010604453871,0.04772004241781548,7.158006362672323
DE Bollinger,600,716,43,1.1933333333333334,0.07166666666666667,7.16
Rashid Khan,3237,3863,166,1.1933889403768922,0.05128205128205128,7.160333642261353
SK Warne,1223,1465,60,1.1978740801308259,0.04905968928863451,7.187244480784955
JJ Bumrah,3474,4162,203,1.19804260218768,0.058434081750143925,7.1882556131260795
M Kartik,1182,1418,39,1.1996615905245347,0.03299492385786802,7.197969543147208
MJ Santner,617,744,26,1.2058346839546192,0.04213938411669368,7.235008103727715
MF Maharoof,441,532,33,1.2063492063492063,0.07482993197278912,7.238095238095237
Ankit Sharma,375,453,12,1.208,0.032,7.247999999999999
JP Duminy,701,847,23,1.2082738944365192,0.03281027104136947,7.249643366619115
RR Powar,443,538,15,1.2144469525959367,0.033860045146726865,7.28668171557562
