match_id,team1,team2,venue,season
1082591,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",2017
1082592,Rising Pune Supergiant,Mumbai Indians,Maharashtra Cricket Association Stadium,2017
1082593,Gujarat Lions,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,2017
1082594,Kings XI Punjab,Rising Pune Supergiant,Holkar Cricket Stadium,2017
1082595,Royal Challengers Bangalore,Delhi Daredevils,M.Chinnaswamy Stadium,2017
1082596,Sunrisers Hyderabad,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",2017
1082597,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,2017
1082598,Kings XI Punjab,Royal Challengers Bangalore,Holkar Cricket Stadium,2017
1082599,Rising Pune Supergiant,Delhi Daredevils,Maharashtra Cricket Association Stadium,2017
1082600,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,2017
1082601,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,2017
1082602,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,2017
1082603,Gujarat Lions,Rising Pune Supergiant,Saurashtra Cricket Association Stadium,2017
1082604,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2017
1082605,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,2017
1082606,Mumbai Indians,Gujarat Lions,Wankhede Stadium,2017
1082607,Royal Challengers Bangalore,Rising Pune Supergiant,M Chinnaswamy Stadium,2017
1082608,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,2017
1082609,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",2017
1082610,Gujarat Lions,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,2017
1082611,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",2017
1082612,Kings XI Punjab,Mumbai Indians,Holkar Cricket Stadium,2017
1082613,Kolkata Knight Riders,Gujarat Lions,Eden Gardens,2017
1082614,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,2017
1082615,Rising Pune Supergiant,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,2017
1082616,Gujarat Lions,Kings XI Punjab,Saurashtra Cricket Association Stadium,2017
1082617,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,2017
1082618,Mumbai Indians,Rising Pune Supergiant,Wankhede Stadium,2017
1082620,Rising Pune Supergiant,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,2017
1082621,Royal Challengers Bangalore,Gujarat Lions,M Chinnaswamy Stadium,2017
1082622,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,2017
1082623,Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",2017
1082624,Rising Pune Supergiant,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,2017
1082625,Gujarat Lions,Mumbai Indians,Saurashtra Cricket Association Stadium,2017
1082626,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",2017
1082627,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",2017
1082628,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,2017
1082629,Rising Pune Supergiant,Gujarat Lions,Maharashtra Cricket Association Stadium,2017
1082630,Delhi Daredevils,Sunrisers Hyderabad,Feroz Shah Kotla,2017
1082631,Kolkata Knight Riders,Rising Pune Supergiant,Eden Gardens,2017
1082632,Delhi Daredevils,Gujarat Lions,Feroz Shah Kotla,2017
1082633,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,2017
1082634,Sunrisers Hyderabad,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",2017
1082635,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,2017
1082636,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2017
1082637,Kings XI Punjab,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",2017
1082638,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",2017
1082639,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",2017
1082640,Gujarat Lions,Delhi Daredevils,Green Park,2017
1082641,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,2017
1082642,Delhi Daredevils,Rising Pune Supergiant,Feroz Shah Kotla,2017
1082643,Gujarat Lions,Sunrisers Hyderabad,Green Park,2017
1082644,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,2017
1082645,Rising Pune Supergiant,Kings XI Punjab,Maharashtra Cricket Association Stadium,2017
1082646,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,2017
1082647,Mumbai Indians,Rising Pune Supergiant,Wankhede Stadium,2017
1082648,Sunrisers Hyderabad,Kolkata Knight Riders,M Chinnaswamy Stadium,2017
1082649,Mumbai Indians,Kolkata Knight Riders,M Chinnaswamy Stadium,2017
1082650,Mumbai Indians,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",2017
1136561,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,2018
